2025-10-24 08:05:36 | INFO     | utils.file_utils               | PDF téléchargé avec succès (4710.1 KB): bsv_gc_n_20_du_25_03_2025.pdf
2025-10-24 08:05:37 | INFO     | __main__                       | Téléchargement [18/38]: bsv_gc_n_19_du_18_03_2025.pdf
2025-10-24 08:05:39 | INFO     | utils.file_utils               | PDF téléchargé avec succès (4320.1 KB): bsv_gc_n_19_du_18_03_2025.pdf
2025-10-24 08:05:40 | INFO     | __main__                       | Téléchargement [19/38]: bsv_gc_n_18_du_11_03_2025.pdf
2025-10-24 08:05:45 | INFO     | utils.file_utils               | PDF téléchargé avec succès (3247.5 KB): bsv_gc_n_18_du_11_03_2025.pdf
2025-10-24 08:05:46 | INFO     | __main__                       | Téléchargement [20/38]: bsv_gc_n_17_du_04_03_2025.pdf
2025-10-24 08:05:50 | INFO     | utils.file_utils               | PDF téléchargé avec succès (3067.2 KB): bsv_gc_n_17_du_04_03_2025.pdf
2025-10-24 08:05:51 | INFO     | __main__                       | Téléchargement [21/38]: bsv_gc_n_16_du_25_02_2025.pdf
2025-10-24 08:05:53 | INFO     | utils.file_utils               | PDF téléchargé avec succès (2487.1 KB): bsv_gc_n_16_du_25_02_2025.pdf
2025-10-24 08:05:54 | INFO     | __main__                       | Téléchargement [22/38]: bsv_gc_n_15_du_18_02_2025.pdf
2025-10-24 08:06:05 | INFO     | utils.file_utils               | PDF téléchargé avec succès (2805.4 KB): bsv_gc_n_15_du_18_02_2025.pdf
2025-10-24 08:06:06 | INFO     | __main__                       | Téléchargement [23/38]: bilan_bsv_gc_2023_2024.pdf
2025-10-24 08:06:11 | INFO     | utils.file_utils               | PDF téléchargé avec succès (6438.4 KB): bilan_bsv_gc_2023_2024.pdf
2025-10-24 08:06:12 | INFO     | __main__                       | Téléchargement [24/38]: bsv_gc_n_14_du_06_12_2024.pdf
2025-10-24 08:06:15 | INFO     | utils.file_utils               | PDF téléchargé avec succès (2284.0 KB): bsv_gc_n_14_du_06_12_2024.pdf
2025-10-24 08:06:16 | INFO     | __main__                       | Téléchargement [25/38]: note_campagnols_des_champs_du_19_11_2024.pdf
2025-10-24 08:06:33 | INFO     | utils.file_utils               | PDF téléchargé avec succès (8682.8 KB): note_campagnols_des_champs_du_19_11_2024.pdf
2025-10-24 08:06:34 | INFO     | __main__                       | Téléchargement [26/38]: bsv_gc_n_13_du_12_11_2024.pdf
2025-10-24 08:06:35 | INFO     | utils.file_utils               | PDF téléchargé avec succès (3034.8 KB): bsv_gc_n_13_du_12_11_2024.pdf
2025-10-24 08:06:36 | INFO     | __main__                       | Téléchargement [27/38]: bsv_gc_n_12_du_05_11_2024.pdf
2025-10-24 08:06:37 | INFO     | utils.file_utils               | PDF téléchargé avec succès (3149.2 KB): bsv_gc_n_12_du_05_11_2024.pdf
2025-10-24 08:06:38 | INFO     | __main__                       | Téléchargement [28/38]: bsv_gc_n_11_du_29_10_2024.pdf
2025-10-24 08:06:45 | INFO     | utils.file_utils               | PDF téléchargé avec succès (3559.4 KB): bsv_gc_n_11_du_29_10_2024.pdf
2025-10-24 08:06:46 | INFO     | __main__                       | Téléchargement [29/38]: bsv_gc_n_10_du_22_10_2024.pdf
2025-10-24 08:06:51 | INFO     | utils.file_utils               | PDF téléchargé avec succès (3613.8 KB): bsv_gc_n_10_du_22_10_2024.pdf
2025-10-24 08:06:52 | INFO     | __main__                       | Téléchargement [30/38]: bsv_gc_n_9_du_15_10_2024.pdf
2025-10-24 08:06:54 | INFO     | utils.file_utils               | PDF téléchargé avec succès (3544.8 KB): bsv_gc_n_9_du_15_10_2024.pdf
2025-10-24 08:06:55 | INFO     | __main__                       | Téléchargement [31/38]: bsv_gc_n_8_du_08_10_2024.pdf
2025-10-24 08:06:59 | INFO     | utils.file_utils               | PDF téléchargé avec succès (3067.4 KB): bsv_gc_n_8_du_08_10_2024.pdf
2025-10-24 08:07:00 | INFO     | __main__                       | Téléchargement [32/38]: bsv_gc_n_7_du_01_10_2024.pdf
2025-10-24 08:07:11 | INFO     | utils.file_utils               | PDF téléchargé avec succès (2774.1 KB): bsv_gc_n_7_du_01_10_2024.pdf
2025-10-24 08:07:12 | INFO     | __main__                       | Téléchargement [33/38]: bsv_gc_n_6_du_24_09_2024.pdf
2025-10-24 08:07:15 | INFO     | utils.file_utils               | PDF téléchargé avec succès (5703.9 KB): bsv_gc_n_6_du_24_09_2024.pdf
2025-10-24 08:07:16 | INFO     | __main__                       | Téléchargement [34/38]: bsv_n_5_du_17_09_2024.pdf
2025-10-24 08:07:22 | INFO     | utils.file_utils               | PDF téléchargé avec succès (5787.8 KB): bsv_n_5_du_17_09_2024.pdf
2025-10-24 08:07:23 | INFO     | __main__                       | Téléchargement [35/38]: bsv_gc_n_4_du_10_09_2024.pdf
